GEOID,REPDIST,section,from_total,to_total,count_weight,proportion_weight
6037197700,101,5008,5103,5008,0.9813835,1
6037206010,105,1318,3127,1318,0.421490246,1
6037980010,109,79,164,79,0.481707317,1
6037207101,111,3047,3047,7677,1,0.396899831
6037207103,111,2077,2077,7677,1,0.270548391
6037207102,111,2553,2553,7677,1,0.332551778
6037207400,112,15,1363,15,0.011005136,1
6037206010,118,1398,3127,1398,0.447073873,1
6037206020,119,7883,7883,7883,1,1
6037207400,121,15,1363,15,0.011005136,1
6037207400,122,8,1363,8,0.005869406,1
6037207400,123,11,1363,11,0.008070433,1
6037207400,124,4,1363,4,0.002934703,1
6037207400,127,1274,1363,1274,0.934702861,1
6037206200,128,337,3386,337,0.099527466,1
6037206031,129,21,2957,21,0.007101792,1
6037207501,131,971,2218,971,0.437781785,1
6037207400,132,36,1363,3209,0.026412326,0.011218448
6037207501,132,1247,2218,3209,0.562218215,0.388594578
6037207502,132,1926,2589,3209,0.74391657,0.600186974
6037207301,133,176,4521,176,0.03892944,1
6037207301,134,179,4521,179,0.03959301,1
6037207302,135,429,3791,429,0.113162754,1
6037206200,138,1694,3386,1694,0.500295334,1
6037206031,139,1637,2957,1637,0.553601623,1
6037207502,142,663,2589,663,0.25608343,1
6037207301,143,106,4521,106,0.02344614,1
6037207302,144,813,3791,813,0.214455289,1
6037207302,145,259,3791,259,0.068319705,1
6037206200,146,568,3386,568,0.167749557,1
6037206200,147,326,3386,326,0.096278795,1
6037206200,148,461,3386,461,0.136148848,1
6037207710,151,1,2490,1,0.000401606,1
6037207710,152,749,2490,749,0.300803213,1
6037207301,153,2532,4521,2532,0.560053086,1
6037207302,154,1312,3791,1312,0.346082828,1
6037206300,155,159,7540,159,0.021087533,1
6037206300,156,2692,7540,2692,0.357029178,1
6037206300,157,765,7540,765,0.101458886,1
6037206300,158,1658,7540,1658,0.219893899,1
6037206031,159,995,2957,995,0.336489685,1
6037207710,161,2,2490,2,0.000803213,1
6037207710,162,1620,2490,1620,0.65060241,1
6037207301,163,1034,4521,1034,0.228710462,1
6037207302,164,978,3791,978,0.257979425,1
6037206300,165,49,7540,49,0.006498674,1
6037206300,166,2217,7540,2217,0.29403183,1
6037207710,171,118,2490,118,0.047389558,1
6037207301,174,494,4521,494,0.109267861,1
6037226002,176,409,1604,409,0.254987531,1
6037207900,182,3818,4163,3818,0.917127072,1
6037207900,185,345,4163,345,0.082872928,1
6037224010,191,135,2433,384,0.055487053,0.3515625
6037224020,191,249,2789,384,0.089279312,0.6484375
6037224010,192,2098,2433,2289,0.862309905,0.916557449
6037224020,192,191,2789,2289,0.068483327,0.083442551
6037224010,195,200,2433,469,0.082203042,0.426439232
6037224020,195,269,2789,469,0.096450341,0.573560768
6037191500,201,5551,5551,5551,1,1
6037191410,202,5092,5092,5092,1,1
6037191420,203,3365,3365,3365,1,1
6037195903,204,2216,2216,6356,1,0.348646948
6037195902,204,1905,1905,6356,1,0.299716803
6037195901,204,2235,2235,6356,1,0.351636249
6037195803,205,2603,2603,5246,1,0.496187571
6037195804,205,2643,2643,5246,1,0.503812429
6037192610,211,4389,4389,4389,1,1
6037192700,212,3513,3513,3513,1,1
6037195802,215,2881,2881,2881,1,1
6037195710,216,4328,4328,4328,1,1
6037208402,217,454,2775,2758,0.163603604,0.164612038
6037195720,217,2304,2304,2758,1,0.835387962
6037197500,218,3889,3889,4253,1,0.914413355
6037208000,218,364,6893,4253,0.052807196,0.085586645
6037197600,219,2376,2376,2414,1,0.984258492
6037208000,219,38,6893,2414,0.005512839,0.015741508
6037192620,221,3868,3868,3868,1,1
6037208610,231,4195,4195,4195,1,1
6037208620,233,4660,4660,4660,1,1
6037208501,235,2656,2656,6227,1,0.426529629
6037208502,235,3571,3571,6227,1,0.573470371
6037208401,236,3770,3770,6091,1,0.618945986
6037208402,236,2321,2775,6091,0.836396396,0.381054014
6037208302,237,4360,4360,8189,1,0.532421541
6037208301,237,2201,2201,8189,1,0.268775186
6037208000,237,1628,6893,8189,0.236181634,0.198803273
6037208000,238,4566,6893,4566,0.662411142,1
6037208000,239,297,6893,297,0.04308719,1
6037208710,241,4309,4309,4309,1,1
6037208801,245,2995,2995,5901,1,0.507541095
6037208802,245,2906,2906,5901,1,0.492458905
6037208903,246,4019,4019,4019,1,1
6037208904,247,3926,3926,3926,1,1
6037209103,248,3216,3216,5650,1,0.56920354
6037209104,248,2434,2434,5650,1,0.43079646
6037209200,249,2785,2785,2785,1,1
6037208720,251,4179,4179,4179,1,1
6037208902,256,2339,2339,2339,1,1
6037209102,257,5267,5267,5267,1,1
6037209401,261,3914,3914,3914,1,1
6037209402,265,3728,3728,3728,1,1
6037209403,266,3600,3600,3600,1,1
6037209300,269,5021,5021,5021,1,1
6037209510,271,2692,2692,2692,1,1
6037209520,275,2791,2791,2791,1,1
6037210010,279,1823,3520,1823,0.517897727,1
6037209810,281,2472,2472,2472,1,1
6037209820,285,2968,2968,2968,1,1
6037210010,289,1697,3520,1697,0.482102273,1
6037224310,291,2025,2025,2025,1,1
6037224200,292,4,2392,5,0.001672241,0.8
6037224320,292,1,3224,5,0.000310174,0.2
6037224320,295,3223,3224,3223,0.999689826,1
6037224200,299,2388,2392,2388,0.998327759,1
6037219901,301,377,5234,1306,0.072029041,0.288667688
6037219902,301,929,4113,1306,0.225869195,0.711332312
6037219800,303,269,3310,269,0.081268882,1
6037219700,305,1068,4306,1084,0.24802601,0.985239852
6037218702,305,16,2176,1084,0.007352941,0.014760148
6037218702,307,599,2176,599,0.275275735,1
6037224410,308,3135,3140,3135,0.998407643,1
6037224410,309,5,3140,5,0.001592357,1
6037219901,311,3027,5234,6211,0.57833397,0.487361133
6037219902,311,3184,4113,6211,0.774130805,0.512638867
6037219800,312,3041,3310,4871,0.918731118,0.624307124
